GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33848,34884,35559,35706,36722,38189,38704,39968,41324,42998,45843,50495,51660,54112,56684
 "01000","Alabama",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31090,31757,32495,32393,33344,34531,34912,36166,37639,39010,41819,45720,45762,48857,51158
 "01000","Alabama",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27634,28420,28916,29589,30359,31123,31999,33014,34048,35385,34944,39382,42508,44529,(NA)
 "01000","Alabama",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.852,87.725,89.682,89.955,90.515,90.273,90.137,89.706,90.580,90.098,87.388,88.297,87.561,88.072,88.007,89.970,(NA)
 "01000","Alabama",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.229,78.006,81.174,83.482,85.568,86.464,87.542,87.284,89.026,90.098,89.177,91.395,91.624,95.974,102.185,108.406,(NA)
 "01000","Alabama",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2361892,2378217,2392225,2376053,2364829,2371429,2425650,2486829,2545547,2604108,2582600,2479511,2460305,2497974,2503656,2523020,2552256,2587641,2619761,2649222,2692424,2712014,2670753,2769122,2854910,2939353,(NA)
 "02000","Alaska",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",40263.7,39783.1,38428.1,40014.4,41904.7,41235.0,42880.1,44406.8,47546.2,50126.7,49926.6,54951.9,53652.0,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52377.5,50332.8,51454.1,50767.1,54059.7,54881.0
 "02000","Alaska",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35489.4,34976.6,37928.9,39548.5,40261.6,39493.9,40913.7,41763.3,40448.3,40068.6,40876.8,41763.5,42869.1,42273.0,42764.7,42881.9,(NA)
 "02000","Alaska",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),28865.5,28761.4,30555.8,31230.3,32002.7,32394.9,32817.5,33095.6,33216.1,33306.8,33814.2,34572.5,33062.4,34829.2,36670.1,37640.6,(NA)
 "02000","Alaska",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",24387.8,24920.4,26934.0,28660.9,29884.5,32115.8,35389.5,40459.9,44951.7,49456.4,55246.7,50165.9,53654.0,56912.3,58320.7,57533.0,56587.4,51574.2,51121.8,53550.9,54762.0,54549.6,51283.4,58943.5,66271.9,68056.0,69969.0
 "02000","Alaska",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44459.7,45339.6,48183.7,50606.8,52520.0,55692.9
 "02000","Alaska",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16187.6,16719.1,17933.0,18968.7,20293.0,21450.3,22543.5,23868.0,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,40998.2,42022.2,44359.3,45931.5,48363.0,51311.7
 "02000","Alaska",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617.0,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36873.0,35064.0,39778.9,43438.8,46131.3,(NA)
 "02000","Alaska",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51624,50046,53121,54737,55069,53511,55466,56504,54410,54005,55410,56835,58487,57520,58320,58470,(NA)
 "02000","Alaska",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41989,41153,42794,43225,43773,43892,44490,44777,44682,44892,45837,47049,45108,47392,50009,51323,(NA)
 "02000","Alaska",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55536,56500,58997,60504,61853,65608,68905,71309,75247
 "02000","Alaska",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50263,51514,50719,51925,54642,55794,57328,60401,62539,65665,69328
 "02000","Alaska",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42915,44251,45019,45704,47075,48904,50180,47839,54127,59239,62900,(NA)
 "02000","Alaska",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.924,106.224,103.183,103.328,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.039,101.350,104.808,102.022,101.715,(NA)
 "02000","Alaska",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.669,94.455,93.395,95.893,96.989,97.772,99.463,100.540,102.289,104.864,106.692,106.654,106.054,114.211,118.458,122.557,(NA)
 "02000","Alaska",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454794,430867,443037,453783,467287,(NA)
 "04000","Arizona",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",197492.1,214293.9,224729.3,230885.6,238257.1,253743.1,264990.0,283806.2,296424.4,306611.6,302277.9,277412.4,282252.5,290411.3,297077.3,298859.9,301721.2,308582.8,319008.4,333099.0,346398.3,359576.7,365027.7,395035.9,410228.4,422399.6,433763.2
 "04000","Arizona",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),244724.1,232419.1,237914.3,247442.2,255433.5,257087.1,267086.1,281347.5,289273.8,304434.3,318218.3,333868.0,361266.1,394399.4,374592.8,381769.1,(NA)
 "04000","Arizona",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216145.7,208707.6,215882.4,221402.7,226505.7,230026.9,237768.6,246519.2,251483.4,264659.3,275644.2,283289.2,281220.9,318965.7,321902.1,328923.0,(NA)
 "04000","Arizona",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",144393.2,156442.1,165735.6,172899.6,180844.5,194318.0,207246.3,227997.8,246061.1,261152.8,261005.8,244862.2,250527.0,261691.4,272703.3,278679.5,286676.0,298942.2,313787.1,333099.0,353671.0,375376.7,388956.7,436778.6,484052.2,522767.2,552167.0
 "04000","Arizona",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",117835.0,124922.3,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337257.2,374007.2,414355.4,434338.9,464774.9,488730.4
 "04000","Arizona",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",103265.8,109324.1,118337.5,124820.6,132597.0,141828.8,154311.8,167738.1,184940.1,195625.4,201198.3,195955.8,198815.2,206128.2,214865.8,218160.9,228628.0,239543.4,250636.5,266666.0,283699.5,302209.0,337183.5,369238.9,380701.1,418331.6,439281.6
 "04000","Arizona",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367.0,170011.9,184063.5,194363.4,197557.7,190868.2,196474.0,203580.7,209936.3,216830.0,226151.5,234755.7,243679.6,259029.1,273816.1,286698.1,291939.3,335779.0,373625.2,400704.5,(NA)
 "04000","Arizona",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38967,36641,37167,38404,39287,39214,40285,41957,42582,44298,45693,47239,50269,54232,50856,51373,(NA)
 "04000","Arizona",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34416,32903,33725,34362,34837,35087,35863,36763,37019,38511,39580,40082,39131,43859,43703,44262,(NA)
 "04000","Arizona",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33778,35263,36364,36918,38268,39888,41173,43255,45297,47718,52038,56963,58873,62194,64456
 "04000","Arizona",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31059,31992,33047,33277,34484,35723,36895,38803,40736,42759,46915,50761,51603,55979,57935
 "04000","Arizona",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30693,31596,32289,33074,34111,35009,35871,37691,39317,40565,40622,46171,50725,53921,(NA)
 "04000","Arizona",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.501,102.847,100.548,99.081,98.044,98.415,97.934,97.871,98.588,97.873,97.344,97.773,99.207,96.604,99.963,101.105,(NA)
 "04000","Arizona",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.400,91.452,91.010,91.950,92.685,94.263,95.114,95.228,96.897,97.873,99.337,101.203,103.811,105.271,116.068,121.823,(NA)
 "04000","Arizona",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2616288,2695892,2801510,2829002,2847070,2917095,3041449,3219799,3375196,3465065,3402806,3228516,3181563,3239037,3295532,3371101,3448146,3547647,3644791,3740747,3854741,3929587,3919466,4085758,4241280,4383684,(NA)
 "05000","Arkansas",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",89905.3,94756.9,95509.8,95528.7,98556.6,102948.0,108581.8,112451.1,114890.4,114026.7,113628.0,109833.1,113000.9,115241.8,116616.2,119842.8,121409.4,121532.5,123034.9,123882.6,126371.2,127220.0,128340.9,137463.6,139560.7,142860.6,148208.5
 "05000","Arkansas",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),117807.7,118683.5,117680.3,121331.4,126850.0,125299.8,130572.4,134940.8,136781.6,140074.1,145306.2,144945.1,154321.0,165505.2,167211.7,169738.3,(NA)
 "05000","Arkansas",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95712.4,97029.3,96705.8,97691.8,98540.8,99397.4,102073.7,105531.4,108118.3,110659.9,115087.9,114966.5,114466.8,123114.5,127801.5,130245.1,(NA)
 "05000","Arkansas",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62852.0,67279.0,69176.3,71099.6,74453.1,79009.7,85928.6,91133.4,96073.7,98325.0,100206.7,97783.9,101699.3,105697.6,108836.0,114021.1,117388.7,118573.6,120987.4,123882.6,129213.8,132625.8,136198.4,154052.5,168605.8,178606.4,188723.1
 "05000","Arkansas",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131394.8,141985.7,160036.7,168534.8,176809.1,184259.4
 "05000","Arkansas",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",49470.1,51534.9,54020.7,57065.8,59393.7,63652.8,68042.8,70833.0,75056.5,79532.9,83120.6,83435.7,86387.0,91406.0,97557.8,96883.6,102362.7,105216.0,107887.7,111671.5,117322.8,119267.7,129524.3,144346.1,149696.0,160388.2,166778.9
 "05000","Arkansas",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366.0,94866.1,98052.5,102359.8,104412.9,105606.7,119286.2,128944.2,135760.8,(NA)
 "05000","Arkansas",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40983,40970,40280,41286,43018,42409,44097,45431,45893,46837,48481,48247,51195,54650,54888,55330,(NA)
 "05000","Arkansas",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33296,33495,33101,33242,33417,33642,34472,35530,36276,37001,38399,38269,37974,40653,41952,42456,(NA)
 "05000","Arkansas",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34181,36289,36286,38220,39267,40181,41403,43031,43737,47100,52872,55299,57603,59663
 "05000","Arkansas",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33084,32791,34570,35424,36198,37340,39144,39700,42966,47688,49118,52253,54003
 "05000","Arkansas",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27560,28228,28821,29916,30761,31829,32786,34152,34756,35035,39389,42327,44254,(NA)
 "05000","Arkansas",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.065,86.330,88.492,89.335,89.354,89.445,89.357,88.980,89.275,88.607,87.156,87.742,88.168,88.913,86.895,86.508,(NA)
 "05000","Arkansas",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.528,76.765,80.097,82.906,84.470,85.671,86.784,86.577,87.743,88.607,88.941,90.820,92.260,96.890,100.894,104.235,(NA)
 "05000","Arkansas",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445536,1460374,1482449,1482587,1478920,1482026,1505086,1537671,1567665,1582826,1579250,1542904,1541250,1561929,1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663305,1638864,1684570,1745448,1788616,(NA)
 "06000","California",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",1538612.3,1655438.5,1784320.6,1784567.7,1821509.5,1895287.6,1956745.5,2042141.0,2120435.4,2168940.4,2192331.8,2110679.4,2153852.8,2192887.2,2255437.3,2340335.3,2428675.7,2545979.5,2623711.7,2740550.3,2850970.3,2969609.0,2933320.2,3154188.6,3184007.8,3248656.6,3365083.3
 "06000","California",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1603306.0,1567285.7,1624234.9,1688931.8,1753099.3,1755250.2,1834858.3,1951176.5,2033539.5,2073859.0,2114414.8,2211989.0,2370495.0,2473737.1,2300588.4,2335587.4,(NA)
 "06000","California",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1306204.6,1274423.7,1307631.2,1333097.2,1359471.1,1384534.2,1426319.2,1482241.1,1542765.3,1579558.4,1624412.0,1687489.6,1612029.1,1768939.6,1815443.0,1862351.9,(NA)
 "06000","California",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",1143672.5,1239773.5,1354791.3,1373270.8,1419321.8,1498578.0,1585081.4,1698858.4,1812161.6,1900220.4,1946241.5,1879809.5,1938603.3,2014050.3,2108873.1,2223300.9,2342218.8,2487156.4,2586485.2,2740550.3,2899530.9,3068629.7,3076755.1,3423958.3,3660415.7,3870378.9,4103123.6
 "06000","California",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",953360.5,1022682.7,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217.0,1561307.2,1588294.5,1539818.7,1609997.5,1713428.0,1814763.0,1840885.3,1955718.0,2097049.6,2191138.0,2295048.7,2411055.1,2539747.4,2769103.0,3009556.6,3003826.1,3166135.4,3372090.5
 "06000","California",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",816872.5,863253.7,932100.4,988772.1,1040694.4,1098063.6,1164414.7,1209975.6,1295546.9,1346007.1,1376342.8,1378288.7,1431825.6,1504645.4,1590509.7,1587112.7,1679406.9,1786764.4,1871763.1,1961488.7,2057748.6,2171147.1,2372279.8,2521037.8,2444168.2,2694042.2,2868064.1
 "06000","California",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",722322.0,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921.0,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899.0,1752123.2,1856117.3,1941141.0,1888274.3,2156427.6,2372802.3,2526290.3,(NA)
